position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
CUT,"Fichardt, Darren",7,,-2.158,1.769,-1.993,0.105,-0.118,-2.276,283.35,0.607145,0.555555,48.08023333333333,81.97621428571429,0.5,3.5,8.0,-1.887,2025
CUT,"Brown, Daniel",7,,-1.259,-1.385,-0.131,0.498,-1.017,-2.276,291.0,0.5357149999999999,0.61111,39.406676,48.19446666666666,0.33333,5.0,7.0,0.367,2025
CUT,"Smith, Cameron",8,,-0.476,0.467,-0.083,-2.685,-2.3,-2.776,281.85,0.321425,0.5,42.3819125,73.00926666666666,0.5789489473684211,2.5,5.5,-2.768,2025
CUT,"Luck, Curtis",8,,-1.16,-1.064,0.287,-0.84,-1.615,-2.776,292.75,0.464285,0.52778,43.50363043478261,66.58333333333334,0.3809509523809524,3.0,4.5,-0.553,2025
CUT,"Walters, Justin",8,,-0.147,-0.065,-0.762,-1.804,-2.628,-2.776,285.68620689655177,0.5,0.444445,44.33331481481481,58.6528,0.6521730434782609,2.5,6.0,-2.565,2025
CUT,"Peake, Ryan",8,,-2.042,-0.113,0.524,-1.145,-0.733,-2.776,291.45,0.35714,0.6666700000000001,43.166675,63.59850909090909,0.3846130769230769,3.0,5.5,-0.621,2025
CUT,"Jones, Frazer",8,,0.098,1.378,-1.962,-2.29,-2.873,-2.776,275.9,0.35714,0.36111,48.1875,70.29165,0.6190471428571428,2.5,8.0,-4.252,2025
CUT,"Teder, Richard",8,,-3.183,-0.761,-0.155,1.325,0.408,-2.776,306.65,0.42857,0.61111,41.101866666666666,65.29759999999999,0.4117635294117647,5.0,8.0,1.169,2025
CUT,"Zheng, Sampson",8,,-1.05,0.007,-1.444,-0.291,-1.726,-2.776,287.95000000000005,0.5,0.58333,37.306557142857145,85.51188571428571,0.5555527777777778,4.0,6.5,-1.734,2025
CUT,"Harrington, Padraig",9,,-0.693,-1.418,1.044,-2.21,-2.583,-3.276,285.89310344827584,0.42857,0.6111150000000001,41.29515,41.15738888888889,0.56249875,2.5,6.5,-1.166,2025
CUT,"Scott, Adam",9,,-0.206,-0.053,-1.774,-1.244,-3.071,-3.276,294.3551724137931,0.35714,0.47222,42.648125925925925,79.73336,0.599999,3.5,7.0,-3.018,2025
CUT,"Imahira, Shugo",9,,-1.693,-2.04,0.205,0.253,-1.582,-3.276,283.7,0.5357149999999999,0.555555,40.38145,57.39287142857143,0.4545454545454545,2.5,6.5,0.457,2025
CUT,"Riley, Davis",9,,-1.168,-0.267,-1.487,-0.353,-2.107,-3.276,287.9068965517241,0.464285,0.52778,42.339784615384616,86.09375,0.55556,2.5,6.0,-1.84,2025
CUT,"Akutsu, Mikiya",9,,-1.491,-0.141,-1.039,-0.605,-1.784,-3.276,276.65172413793107,0.5,0.527775,49.677435483870966,70.68056666666666,0.5333300000000001,3.0,6.5,-1.643,2025
CUT,"Couvra, Martin",9,,-0.279,-1.314,0.024,-1.706,-2.996,-3.276,290.15,0.285715,0.444445,36.77536086956522,57.125,0.4761914285714285,3.0,6.0,-1.682,2025
CUT,"Graham, Connor",10,,-2.68,0.055,-1.372,0.221,-1.095,-3.776,292.29999999999995,0.57143,0.52778,39.62499090909091,89.4352,0.4347865217391304,3.5,7.0,-1.151,2025
CUT,"Cave, Seb",11,,-1.231,-1.052,-1.827,-0.166,-3.045,-4.276,287.95,0.392855,0.47222,49.35142608695652,51.39393636363637,0.4166658333333334,2.0,5.0,-1.993,2025
CUT,"Hoge, Tom",12,,-4.281,-0.744,0.113,0.138,-0.494,-4.776,291.1,0.42857,0.52778,36.19201304347827,75.19164,0.2857128571428571,3.5,9.5,0.251,2025
CUT,"Migliozzi, Guido",12,,-0.709,-0.048,-1.805,-2.214,-4.067,-4.776,284.84137931034485,0.5,0.36111,51.91985,72.26668000000001,0.5769269230769231,4.5,8.5,-4.019,2025
CUT,"Choi, K.J.",13,,-0.924,-1.611,-1.258,-1.484,-4.352,-5.276,263.25,0.5,0.444445,43.92625,63.25924444444444,0.3478230434782609,1.5,5.0,-2.742,2025
CUT,"Van Tonder, Daniel",14,,-2.903,-1.784,-0.892,-0.197,-2.873,-5.776,292.7103448275862,0.607145,0.52778,41.976684,79.53336,0.4,3.0,9.0,-1.089,2025
CUT,"Newman, Bryan",15,,0.423,-2.124,-2.991,-1.583,-6.699,-6.276,282.15,0.57143,0.44444,51.42336,46.9792,0.45833375,3.0,9.0,-4.575,2025
